原文件名,建议英文名,相对路径,所属目录,文件大小_KB,核心主题,是否归档,优先级,摘要,备注
01-gravity-en.md,01-gravity-en.md,papers\01-gravity-en.md,papers,68.3,,NO,HIGH,大型文档 (68KB)，需人工摘要,
01-gravity.md,01-gravity.md,papers\01-gravity.md,papers,52.8,,NO,HIGH,大型文档 (53KB)，需人工摘要,
02-weak-force.md,02-weak-force.md,papers\02-weak-force.md,papers,51.5,,NO,HIGH,大型文档 (52KB)，需人工摘要,
03-turbulence-2d.md,03-turbulence-2d.md,papers\03-turbulence-2d.md,papers,50.2,,NO,HIGH,大型文档 (50KB)，需人工摘要,
proof-status.md,proof-status.md,framework\proof-status.md,framework,2.2,,NO,HIGH,,
glossary.md,glossary.md,framework\glossary.md,framework,1.1,,NO,HIGH,,
差异论V1.6EN.md,difference-theory-v1.6-en.md,01-核心理论-差异论\差异论V1.6EN.md,core-theory,445.8,,NO,MEDIUM,差异论v1.6英文版,
差异论V1.6.md,difference-theory-v1.6.md,01-核心理论-差异论\差异论V1.6.md,core-theory,382.2,,NO,MEDIUM,差异论最新完整版v1.6：所有9机制严格论证+社会科学命题重写,
worldbaseV2.1.md,worldbaseV2.1.md,02-worldbase物理框架\worldbaseV2.1.md,physics-framework,351.6,,NO,MEDIUM,WorldBase v2.1最新版：精修后的公理化物理框架,
worldbaseV2.1-full.md,worldbaseV2.1-full.md,02-worldbase物理框架\worldbase-v2.1-split\worldbaseV2.1-full.md,physics-framework,305.1,,NO,MEDIUM,大型文档 (305KB)，需人工摘要,
worldbaseV2.0.md,worldbaseV2.0.md,02-worldbase物理框架\worldbaseV2.0.md,physics-framework,206.9,,NO,MEDIUM,WorldBase v2.0：昨天精修版本,
worldbase本地完整化版本V1.6.md,worldbase本地完整化版本V1.6.md,02-worldbase物理框架\worldbase本地完整化版本V1.6.md,physics-framework,101.7,,YES,MEDIUM,WorldBase本地化v1.6,
V2.1 §8.19 QLEM 主定理：离散→连续量子桥梁.md,V2.1 §8.19 QLEM 主定理：离散→连续量子桥梁.md,calculations\V2.1 §8.19 QLEM 主定理：离散→连续量子桥梁.md,derivations,26.2,,NO,MEDIUM,,
V2.1 §8.7.6 Lindblad 方程的公理来源.md,V2.1 §8.7.6 Lindblad 方程的公理来源.md,calculations\V2.1 §8.7.6 Lindblad 方程的公理来源.md,derivations,19.9,,NO,MEDIUM,,
V2.0修改进度.md,V2.0修改进度.md,logs\V2.0修改进度.md,explorations-logs,16.7,,NO,MEDIUM,,
worldbase数学框架及全物理对应.md,worldbase-mathematical-framework.md,02-worldbase物理框架\worldbase数学框架及全物理对应.md,physics-framework,499.7,,NO,LOW,WorldBase核心文档：十公理体系、离散状态空间、连续极限定理、引力/电磁/弱力统一推导,
差异论V1.5.md,difference-theory-v1.5.md,01-核心理论-差异论\差异论V1.5.md,core-theory,457.8,,NO,LOW,差异论完整表述v1.5：九生成机制详细论证,
历史的公理分析_V1.3.md,historical-axiomatic-analysis-v1.3.md,04-社会科学应用\历史的公理分析_V1.3.md,social-science,286.3,,NO,LOW,历史领域应用：周代/秦汉/唐宋/明清公理解读,
历史的公理分析_V1.4.md,historical-axiomatic-analysis-v1.4.md,04-社会科学应用\历史的公理分析_V1.4.md,social-science,171.7,,NO,LOW,历史分析v1.4：全面工具箱版本,
worldbase本地完整化版本V1.9.md,worldbase本地完整化版本V1.9.md,02-worldbase物理框架\worldbase本地完整化版本V1.9.md,physics-framework,153.1,,NO,LOW,WorldBase本地化v1.9,
差异即世界V1.1.md,difference-is-world-v1.1.md,01-核心理论-差异论\差异即世界V1.1.md,core-theory,139.0,,NO,LOW,本体论展开：'一切都是差异'的语法层链接,
worldbase本地完整化版本V1.8.md,worldbase本地完整化版本V1.8.md,02-worldbase物理框架\worldbase本地完整化版本V1.8.md,physics-framework,127.8,,YES,LOW,WorldBase本地化v1.8,
象界.md,phenomenal-realm.md,01-核心理论-差异论\象界.md,core-theory,126.8,,NO,LOW,现象学维度：结构/主体在约束中的筛选与显现,
历史的公理分析_全书V1.0.md,historical-axiomatic-analysis-complete-v1.0.md,04-社会科学应用\历史的公理分析_全书V1.0.md,social-science,107.4,,NO,LOW,历史公理分析全书版,
worldbase物理版全版V1.2.md,worldbase物理版全版V1.2.md,02-worldbase物理框架\worldbase物理版全版V1.2.md,physics-framework,99.7,,NO,LOW,WorldBase物理领域完整表述v1.2,
worldbase物理版全版V1.2.md,worldbase物理版全版V1.2.md,05-历史版本归档\worldbase物理版全版V1.2.md,archive,99.7,,YES,LOW,WorldBase物理领域完整表述v1.2,
公理社会论文.md,axiomatic-society-paper.md,04-社会科学应用\公理社会论文.md,social-science,95.0,,NO,LOW,社会领域最长应用论文,
worldbase本地完整化版本.md,worldbase本地完整化版本.md,02-worldbase物理框架\worldbase本地完整化版本.md,physics-framework,89.8,,YES,LOW,WorldBase本地化早期版本,
worldbaseV1.3.md,worldbaseV1.3.md,02-worldbase物理框架\worldbaseV1.3.md,physics-framework,80.5,,YES,LOW,WorldBase v1.3早期版本,
08-quantum.md,08-quantum.md,02-worldbase物理框架\worldbase-v2.1-split\08-quantum.md,physics-framework,80.2,,NO,LOW,大型文档 (80KB)，需人工摘要,
引力约束条件的枚举.md,gravity-constraints-enumeration.md,02-worldbase物理框架\引力约束条件的枚举.md,physics-framework,80.1,,NO,LOW,大型文档 (80KB)，需人工摘要,
引力的论文英文版.md,gravity-paper-en.md,02-worldbase物理框架\引力的论文英文版.md,physics-framework,68.3,,NO,LOW,大型文档 (68KB)，需人工摘要,
Appearing Before Appearing_ A Structural Account of Pre-Phenomenal Manifestation.md,appearing-before-appearing.md,01-核心理论-差异论\Appearing Before Appearing_ A Structural Account of Pre-Phenomenal Manifestation.md,core-theory,67.2,,NO,LOW,大型文档 (67KB)，需人工摘要,
06-weak-force.md,06-weak-force.md,02-worldbase物理框架\worldbase-v2.1-split\06-weak-force.md,physics-framework,61.9,,NO,LOW,大型文档 (62KB)，需人工摘要,
象界形式化文档V0.8.md,phenomenal-realm-formalization-v0.8.md,01-核心理论-差异论\象界形式化文档V0.8.md,core-theory,56.6,,NO,LOW,大型文档 (57KB)，需人工摘要,
社会缺少公理的可能性讨论.md,社会缺少公理的可能性讨论.md,04-社会科学应用\社会缺少公理的可能性讨论.md,social-science,56.6,,NO,LOW,大型文档 (57KB)，需人工摘要,
象界形式化进度V0.8.md,象界形式化进度V0.8.md,03-worldbase化学理论\象界形式化进度V0.8.md,chemistry,56.1,,NO,LOW,大型文档 (56KB)，需人工摘要,
弱力英文版V1.4.md,weak-force-en-v1.4.md,02-worldbase物理框架\弱力英文版V1.4.md,physics-framework,53.7,,YES,LOW,大型文档 (54KB)，需人工摘要,
关于历史的公理分析的书写法跟定位的讨论.md,关于历史的公理分析的书写法跟定位的讨论.md,04-社会科学应用\关于历史的公理分析的书写法跟定位的讨论.md,social-science,53.7,,NO,LOW,大型文档 (54KB)，需人工摘要,
引力的论文.md,gravity-paper.md,02-worldbase物理框架\引力的论文.md,physics-framework,52.8,,NO,LOW,大型文档 (53KB)，需人工摘要,
弱力英文版V1.3.md,weak-force-en-v1.3.md,02-worldbase物理框架\弱力英文版V1.3.md,physics-framework,51.5,,YES,LOW,大型文档 (52KB)，需人工摘要,
d=2双守恒湍流论文.md,d=2双守恒湍流论文.md,02-worldbase物理框架\d=2双守恒湍流论文.md,physics-framework,50.2,,NO,LOW,大型文档 (50KB)，需人工摘要,
GR_exploration_V0.13.md,GR_exploration_V0.13.md,06-广义相对论的论证\GR_exploration_V0.13.md,general-relativity,47.1,,NO,LOW,,
关于如何从物理1.2建立化学映射的思考.md,physics-to-chemistry-mapping.md,03-worldbase化学理论\关于如何从物理1.2建立化学映射的思考.md,chemistry,47.0,,NO,LOW,,
差异论未说出的可能社会结构_减少公理版.md,unstated-social-structures-reduced-axioms.md,01-核心理论-差异论\差异论未说出的可能社会结构_减少公理版.md,core-theory,40.7,,NO,LOW,,
11-summary.md,11-summary.md,02-worldbase物理框架\worldbase-v2.1-split\11-summary.md,physics-framework,40.3,,NO,LOW,,
关于广义相对论的讨论情况.md,关于广义相对论的讨论情况.md,06-广义相对论的论证\关于广义相对论的讨论情况.md,general-relativity,39.8,,NO,LOW,,
worldbase象界形式化进度V0.11.md,worldbase象界形式化进度V0.11.md,03-worldbase化学理论\worldbase象界形式化进度V0.11.md,chemistry,39.1,,NO,LOW,,
WolrdBase化学再定义版本V0.11.md,chemistry-redefinition-v0.11.md,03-worldbase化学理论\WolrdBase化学再定义版本V0.11.md,chemistry,38.9,,NO,LOW,,
差异论未说出的可能社会结构 (2).md,unstated-social-structures-v2.md,01-核心理论-差异论\差异论未说出的可能社会结构 (2).md,core-theory,36.7,,NO,LOW,,
10-fiber-bundle.md,10-fiber-bundle.md,02-worldbase物理框架\worldbase-v2.1-split\10-fiber-bundle.md,physics-framework,36.3,,NO,LOW,,
千问组合推论总表.md,千问组合推论总表.md,05-历史版本归档\千问组合推论总表.md,archive,32.8,,YES,LOW,,
GR_explorationV0.12a.md,GR_explorationV0.12a.md,06-广义相对论的论证\GR_explorationV0.12a.md,general-relativity,31.7,,NO,LOW,,
自旋推导.md,spin-derivation.md,calculations\自旋推导.md,derivations,29.9,,NO,LOW,,
worldbase对化学的再定义v0.5.md,worldbase对化学的再定义v0.5.md,03-worldbase化学理论\worldbase对化学的再定义v0.5.md,chemistry,28.2,,NO,LOW,,
worlbase V4.0快照及大修.md,worlbase V4.0快照及大修.md,05-历史版本归档\worlbase V4.0快照及大修.md,archive,28.0,,YES,LOW,,
GR_exploration_V0.12.md,GR_exploration_V0.12.md,06-广义相对论的论证\GR_exploration_V0.12.md,general-relativity,27.7,,NO,LOW,,
Dirac方程.md,dirac-equation.md,calculations\Dirac方程.md,derivations,27.1,,NO,LOW,,
GR_exploration_V0.11.md,GR_exploration_V0.11.md,06-广义相对论的论证\GR_exploration_V0.11.md,general-relativity,27.0,,NO,LOW,,
中国政治的公理解读.md,china-politics-axiomatic-interpretation.md,04-社会科学应用\中国政治的公理解读.md,social-science,26.9,,NO,LOW,,
关于被低估的A3的角色问题.md,关于被低估的A3的角色问题.md,logs\关于被低估的A3的角色问题.md,explorations-logs,26.2,,NO,LOW,,
worldbaseV1.5.md,worldbaseV1.5.md,02-worldbase物理框架\worldbaseV1.5.md,physics-framework,25.3,,YES,LOW,,
时间极限推导.md,时间极限推导.md,calculations\时间极限推导.md,derivations,25.2,,NO,LOW,,
05-strong-force.md,05-strong-force.md,02-worldbase物理框架\worldbase-v2.1-split\05-strong-force.md,physics-framework,24.8,,NO,LOW,,
worldbase 公式的推演.md,worldbase 公式的推演.md,05-历史版本归档\worldbase 公式的推演.md,archive,24.5,,YES,LOW,,
lorentz变换.md,lorentz变换.md,calculations\lorentz变换.md,derivations,24.4,,NO,LOW,,
T-012 交付：Higgs 机制的公理推导.md,T-012 交付：Higgs 机制的公理推导.md,calculations\T-012 交付：Higgs 机制的公理推导.md,derivations,24.4,,NO,LOW,,
T-013 交付：Yukawa 耦合矩阵的精确推导.md,T-013 交付：Yukawa 耦合矩阵的精确推导.md,calculations\T-013 交付：Yukawa 耦合矩阵的精确推导.md,derivations,24.4,,NO,LOW,,
公理张力与意识形态极限.md,公理张力与意识形态极限.md,04-社会科学应用\公理张力与意识形态极限.md,social-science,24.2,,NO,LOW,,
